,omega,qv,dataset,P_error,P_corr,Ur_error,Ur_corr,Ut_error,Ut_corr,Uz_error,Uz_corr
0,375,0.05,Training Set,0.05623479027365011,0.6906945009302279,0.07464843541641836,0.8079509543605873,0.2231394546496895,0.8503673032254836,0.14443316039031143,0.8686137665283545
1,375,0.16,Training Set,0.021175393186459977,0.9684752708174051,0.14589811165191477,0.7908854259965451,0.17101802487756307,0.9311189895102613,0.05252137586937381,0.8309678629677154
2,375,0.27,Test Set,0.10102101512670933,0.9801037459967661,0.1250946724927183,0.8481571256346662,0.08291098552408016,0.8449957637757152,0.0647726507283294,0.9375722980246722
3,375,0.37,Training Set,0.0950758448186121,0.9705779781597081,0.054296058520635536,0.9044440408149483,0.07732425171293547,0.9400379004121607,0.046991544486428255,0.9762790686610304
4,375,0.48,Training Set,0.08965568406960989,0.995166297178787,0.10603394677951207,0.8896286917031141,0.02229045375785025,0.9445994906584513,0.04906881355429635,0.9925928251721392
5,450,0.05,Training Set,0.07378927892149048,0.7945919661315395,0.04220313723964595,0.9090193921955618,0.1347540336755022,0.8149439926885894,0.21996519316265153,0.8949572457794285
6,450,0.16,Test Set,0.020334217981282873,0.9465477226946142,0.444771151897341,0.03558681982566221,0.21021048170807183,0.9114188020241337,0.13129323161095635,0.6313817979348874
7,450,0.27,Training Set,0.011605653528447895,0.9699171760732835,0.06097658711796687,0.8837166682825579,0.059011048258608284,0.9210185165067342,0.1240721481663153,0.8984995799409689
8,450,0.37,Training Set,0.09900238058219388,0.9629327290875986,0.054959402235906736,0.8098882576707432,0.07271785624957804,0.9506204099909398,0.04586511912150067,0.9787593346706323
9,450,0.48,Training Set,0.008240724386459768,0.9937683491835557,0.06421394323233227,0.9838269146807321,0.03979178498609996,0.9420418055524746,0.052731164263881115,0.980143450979121
10,525,0.05,Training Set,0.05454043855064928,0.8244938938969374,0.06728615531204174,0.9330456574956133,0.2306289785119628,0.7993749461999186,0.35590465312242936,0.9132645294378146
11,525,0.16,Training Set,0.04787927950151889,0.8927282146521593,0.11442672735148883,0.537831291307268,0.21491698851972427,0.9275751062182652,0.1010590785220637,0.8278190062559908
12,525,0.27,Test Set,0.06943348861048487,0.9753421282799687,0.1059207843325733,0.6533439206471046,0.06296255328353426,0.9366051522213744,0.09624526606671373,0.8841671327819807
13,525,0.37,Training Set,0.036417258206507895,0.992719720501903,0.06947555512618435,0.9183802819357979,0.06604399139163375,0.9521430217383796,0.06514089673324863,0.9732161452544872
14,525,0.48,Training Set,0.01802888075706088,0.9938886181876851,0.0679788879646958,0.8629958456569892,0.02717994095230247,0.9327845578954567,0.06295638555338047,0.9767865875891594
15,600,0.05,Training Set,0.057838113074167856,0.7965205714896962,0.056152558654324884,0.9461351406367907,0.32526507301385466,0.7780663753523726,0.38533262979727817,0.9153943967187964
16,600,0.16,Training Set,0.03330999733917174,0.9470998390142684,0.03827577976513403,0.8648570987068627,0.14827390201989268,0.9365075863721624,0.1505793948650766,0.9266279869713472
17,600,0.27,Training Set,0.0216057113281234,0.9899118150284648,0.1140498533403546,0.8472384755495288,0.1697157193617331,0.9365931796543243,0.044073623266196356,0.8533548066248414
18,600,0.37,Test Set,0.02519997300647622,0.9221666762349587,0.15252163759628284,0.6932930770348276,0.06629041396573605,0.9078143248375881,0.07075883790091896,0.9009862694702783
19,600,0.48,Training Set,0.00419539938912481,0.9960982883590577,0.06455354892795268,0.9657881335966246,0.05157276739935783,0.9480505609100829,0.05690101095430841,0.9823567234631608
20,675,0.05,Training Set,0.040430135907084476,0.8334008632107381,0.06351144537090572,0.9407947187673051,0.3705927291506837,0.7649841736912468,0.3797879250545763,0.9077427970427276
21,675,0.16,Training Set,0.06119730354094651,0.9273026166750771,0.08318777868031628,0.8274384632853934,0.09416077578164649,0.9294921625374791,0.13400416480654212,0.8881196070192034
22,675,0.27,Training Set,0.007645427333673905,0.9626174035988687,0.10398637857616791,0.816236620208195,0.21025190884687653,0.9225184210715708,0.06564430192196971,0.8088359246595874
23,675,0.37,Test Set,0.05097543546324648,0.9348217084747499,0.169368361768014,0.3647393416716863,0.11425353901448379,0.9201939359057493,0.08784114746210715,0.8874009535972728
24,675,0.48,Training Set,0.058314335489024816,0.9935277902157533,0.06606151039500739,0.9076678327005337,0.0712084426094794,0.9512006986411831,0.0640755024160869,0.9698355015366319
